
> lifeos@0.1.0 dev
> next dev -H 127.0.0.1

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env
✓ Ready in 231ms
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'allowedDevOrigins' at "experimental"
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
- Experiments (use with caution):
  ? allowedDevOrigins (invalid experimental key)

 GET / 200 in 293ms (next.js: 101ms, application-code: 192ms)
 GET /api/db/trade 200 in 554ms (next.js: 525ms, application-code: 28ms)
 GET /api/db/fitnessEntry 200 in 471ms (next.js: 442ms, application-code: 29ms)
 GET /api/db/habitEntry 200 in 470ms (next.js: 439ms, application-code: 31ms)
 GET /api/db/timelineEvent 200 in 467ms (next.js: 436ms, application-code: 32ms)
 GET /api/db/userSettings 200 in 464ms (next.js: 432ms, application-code: 33ms)
 GET /api/db/project 200 in 561ms (next.js: 527ms, application-code: 34ms)
 GET /api/db/userSettings 200 in 6ms (next.js: 2ms, application-code: 4ms)
 POST /api/spotify/refresh 200 in 283ms (next.js: 16ms, application-code: 267ms)
 PUT /api/db/userSettings 200 in 11ms (next.js: 2ms, application-code: 9ms)
 GET /api/db/userSettings 200 in 6ms (next.js: 1457µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 3ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 12ms (next.js: 5ms, application-code: 7ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 2ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 1174µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1504µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 760µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 2ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 1474µs, application-code: 1962µs)
 GET /api/db/userSettings 200 in 5ms (next.js: 1202µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1152µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 4ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 6ms (next.js: 3ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1719µs, application-code: 1977µs)
 GET /spotify 200 in 36ms (next.js: 22ms, application-code: 14ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 4ms, application-code: 4ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1332µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 995µs, application-code: 1829µs)
 GET /api/db/userSettings 200 in 12ms (next.js: 6ms, application-code: 6ms)
 GET /api/db/userSettings 200 in 7ms (next.js: 3ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 1642µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 1344µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1354µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 6ms (next.js: 3ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 943µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 2ms (next.js: 737µs, application-code: 1742µs)
 GET /api/db/userSettings 200 in 6ms (next.js: 2ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 805µs, application-code: 1976µs)
 GET /api/db/userSettings 200 in 3ms (next.js: 1020µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 859µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 3ms (next.js: 841µs, application-code: 1925µs)
 GET /api/db/userSettings 200 in 3ms (next.js: 979µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1462µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 5ms, application-code: 4ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 980µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1894µs, application-code: 2ms)
 GET /api/db/userSettings 200 in 5ms (next.js: 1395µs, application-code: 4ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1116µs, application-code: 3ms)
 GET /api/db/userSettings 200 in 7ms (next.js: 3ms, application-code: 3ms)
 GET /api/db/userSettings 200 in 4ms (next.js: 1454µs, application-code: 3ms)
 GET /integrations 200 in 39ms (next.js: 24ms, application-code: 15ms)
 GET /api/db/userSettings 200 in 8ms (next.js: 3ms, application-code: 5ms)
 GET /api/db/userSettings 200 in 7ms (next.js: 1873µs, application-code: 5ms)
